"Nome do grupo"
"teste"
"Elementos"
"miguel@isec.pt";"tiago@isec.pt";"ruben@isec.pt";
"Data"; "Responsável pelo registo da despesa"; "Valor"; "Pago por"; "A dividir com"
"2024-10-10";"miguel@isec.pt";"500.0";"miguel@isec.pt";"tiago@isec.pt";
"2020-10-10";"miguel@isec.pt";"190.0";"miguel@isec.pt";"tiago@isec.pt";
"2015-10-10";"miguel@isec.pt";"1500.0";"miguel@isec.pt";"tiago@isec.pt";
"2010-10-10";"miguel@isec.pt";"1000.0";"miguel@isec.pt";"tiago@isec.pt";
"2010-10-10";"miguel@isec.pt";"500.0";"miguel@isec.pt";"tiago@isec.pt";
"1999-10-10";"miguel@isec.pt";"2000.0";"miguel@isec.pt";"tiago@isec.pt";
"2022-02-02";"miguel@isec.pt";"100.0";"miguel@isec.pt";"tiago@isec.pt";
"2020-01-01";"miguel@isec.pt";"120.0";"miguel@isec.pt";"tiago@isec.pt";
"2000-01-01";"miguel@isec.pt";"700.0";"miguel@isec.pt";"tiago@isec.pt";
"1999-01-01";"miguel@isec.pt";"200.0";"miguel@isec.pt";"tiago@isec.pt";
"1111-01-01";"miguel@isec.pt";"300.0";"miguel@isec.pt";"tiago@isec.pt";
"1111-01-01";"miguel@isec.pt";"400.0";"miguel@isec.pt";"tiago@isec.pt";
"1111-01-01";"miguel@isec.pt";"500.0";"miguel@isec.pt";"tiago@isec.pt";
